model_name,source,wrapper,m_head,batch_size,latency_sec,throughput_samples_per_sec
RegNet_X_800MF,torchvision,temp_scale,1,32,0.0325737714767456,982.3854760829516
RegNet_X_800MF,torchvision,shallow_ensemble,2,32,0.03254820346832275,983.1571819668545
RegNet_X_800MF,torchvision,duo,2,32,0.06523092269897461,490.5648835855425
RegNet_X_8GF,torchvision,base,1,32,0.19815621852874757,161.48874982370333
RegNet_X_8GF,torchvision,temp_scale,1,32,0.19818061351776123,161.46887140972603
RegNet_X_8GF,torchvision,shallow_ensemble,2,32,0.19816030979156493,161.48541569025213
RegNet_X_8GF,torchvision,duo,2,32,0.3963282823562622,80.74114673258413
ResNeXt101_32X8D,torchvision,base,1,32,0.20919034004211426,152.97073465991667
ResNeXt101_32X8D,torchvision,temp_scale,1,32,0.20915414333343507,152.9972081355585
ResNeXt101_32X8D,torchvision,shallow_ensemble,2,32,0.209260778427124,152.9192438283132
ResNeXt101_32X8D,torchvision,duo,2,32,0.4184763479232788,76.4678820172334
ResNeXt101_64X4D,torchvision,base,1,32,0.26747775554656983,119.63611678515288
ResNeXt101_64X4D,torchvision,temp_scale,1,32,0.2674945592880249,119.62860136360375
ResNeXt101_64X4D,torchvision,shallow_ensemble,2,32,0.26742460250854494,119.6598955362662
ResNeXt101_64X4D,torchvision,duo,2,32,0.5348041582107544,59.83498727283551
ResNeXt50_32X4D,torchvision,base,1,32,0.07570401191711426,422.69886614510875
ResNeXt50_32X4D,torchvision,temp_scale,1,32,0.07569420337677002,422.75363994147745
ResNeXt50_32X4D,torchvision,shallow_ensemble,2,32,0.07572579383850098,422.5772801833655
ResNeXt50_32X4D,torchvision,duo,2,32,0.1514754629135132,211.25533723089396
ResNet101,torchvision,base,1,32,0.088357834815979,362.16369568862484
ResNet101,torchvision,temp_scale,1,32,0.08836526393890382,362.13324754085454
ResNet101,torchvision,shallow_ensemble,2,32,0.08832278251647949,362.3074261052561
ResNet101,torchvision,duo,2,32,0.1766412591934204,181.1581288885646
ResNet152,torchvision,base,1,32,0.12652812004089356,252.90820720056288
ResNet152,torchvision,temp_scale,1,32,0.12652947425842284,252.90550037885592
ResNet152,torchvision,shallow_ensemble,2,32,0.1265254020690918,252.91364008095184
ResNet152,torchvision,duo,2,32,0.25307187080383303,126.44629329351497
ResNet50,torchvision,base,1,32,0.05268010139465332,607.4399849816498
ResNet50,torchvision,temp_scale,1,32,0.052700653076171874,607.2031015203588
ResNet50,torchvision,shallow_ensemble,2,32,0.052694478034973145,607.2742570627934
ResNet50,torchvision,duo,2,32,0.10538563251495361,303.6467043594333
ShuffleNet_V2_X0_5,torchvision,base,1,32,0.010297293663024903,3107.6126453404236
ShuffleNet_V2_X0_5,torchvision,temp_scale,1,32,0.010305919647216798,3105.0115948305374
ShuffleNet_V2_X0_5,torchvision,shallow_ensemble,2,32,0.010558195114135742,3030.8210498172266
ShuffleNet_V2_X0_5,torchvision,duo,2,32,0.02075608730316162,1541.716390599575
ShuffleNet_V2_X1_0,torchvision,base,1,32,0.011090426445007325,2885.371465080653
ShuffleNet_V2_X1_0,torchvision,temp_scale,1,32,0.011271820068359376,2838.938148935306
ShuffleNet_V2_X1_0,torchvision,shallow_ensemble,2,32,0.011470708847045898,2789.7142562589843
ShuffleNet_V2_X1_0,torchvision,duo,2,32,0.02261441707611084,1415.0265245529497
ShuffleNet_V2_X1_5,torchvision,base,1,32,0.013331923484802246,2400.253799572017
ShuffleNet_V2_X1_5,torchvision,temp_scale,1,32,0.0133331298828125,2400.036621652552
ShuffleNet_V2_X1_5,torchvision,shallow_ensemble,2,32,0.013342084884643555,2398.425754046228
ShuffleNet_V2_X1_5,torchvision,duo,2,32,0.026690182685852052,1198.9427115072756
ShuffleNet_V2_X2_0,torchvision,base,1,32,0.018426952362060548,1736.5866786460656
ShuffleNet_V2_X2_0,torchvision,temp_scale,1,32,0.018427672386169432,1736.5188250262709
ShuffleNet_V2_X2_0,torchvision,shallow_ensemble,2,32,0.01843427658081055,1735.8967063188638
ShuffleNet_V2_X2_0,torchvision,duo,2,32,0.0368311595916748,868.8295550497188
Swin_S,torchvision,base,1,32,0.15780337810516357,202.78399856988176
Swin_S,torchvision,temp_scale,1,32,0.15779849052429198,202.7902795120453
Swin_S,torchvision,shallow_ensemble,2,32,0.15836891174316406,202.0598591464481
